movie_title,cast,director,keywords,genres,comb
robot jox,gary graham anne-marie johnson paul koslo robert sampson danny kamekona,stuart gordon,post-apocalyptic mecha giant robot piloted giant robot robot,science fiction action,post-apocalyptic mecha giant robot piloted giant robot robot science fiction action stuart gordon gary graham anne-marie johnson paul koslo robert sampson danny kamekona
jacknife,robert de niro kathy baker ed harris ivar brogger jordan lund,david hugh jones,,drama, drama david hugh jones robert de niro kathy baker ed harris ivar brogger jordan lund
troop beverly hills,shelley long craig t. nelson betty thomas mary gross carla gugino,jeff kanew,wilderness teen angst,adventure comedy family,wilderness teen angst adventure comedy family jeff kanew shelley long craig t. nelson betty thomas mary gross carla gugino
millennium,kris kristofferson cheryl ladd daniel j. travanti robert joy lloyd bochner,michael anderson,airport time warp future airplane time travel,mystery drama science fiction thriller,airport time warp future airplane time travel mystery drama science fiction thriller michael anderson kris kristofferson cheryl ladd daniel j. travanti robert joy lloyd bochner
field of dreams,kevin costner amy madigan gaby hoffmann ray liotta timothy busfield,phil alden robinson,regret based on novel baseball miracle farm,drama family fantasy,regret based on novel baseball miracle farm drama family fantasy phil alden robinson kevin costner amy madigan gaby hoffmann ray liotta timothy busfield
erik the viking,tim robbins mickey rooney eartha kitt terry jones imogen stubbs,terry jones,norway norwegian viking,adventure fantasy comedy,norway norwegian viking adventure fantasy comedy terry jones tim robbins mickey rooney eartha kitt terry jones imogen stubbs
road house,patrick swayze kelly lynch sam elliott ben gazzara marshall r. teague,rowdy herrington,new love protection money nightclub rausschmeiãÿer revenge,action thriller,new love protection money nightclub rausschmeiãÿer revenge action thriller rowdy herrington patrick swayze kelly lynch sam elliott ben gazzara marshall r. teague
fletch lives,chevy chase hal holbrook julianne phillips r. lee ermey richard libertini,michael ritchie,saturday night live,comedy crime mystery,saturday night live comedy crime mystery michael ritchie chevy chase hal holbrook julianne phillips r. lee ermey richard libertini
an innocent man,f. murray abraham laila robins david rasche tom selleck todd graff,peter yates,,action crime drama thriller, action crime drama thriller peter yates f. murray abraham laila robins david rasche tom selleck todd graff
music box,jessica lange armin mueller-stahl donald moffat lukas haas cheryl lynn bruce,costa-gavras,war crimes jurors proof court case sentence,crime drama romance thriller,war crimes jurors proof court case sentence crime drama romance thriller costa-gavras jessica lange armin mueller-stahl donald moffat lukas haas cheryl lynn bruce
the mighty quinn,denzel washington james fox mimi rogers m. emmet walsh sheryl lee ralph,carl schenkel,romantic comedy suspense witty whodunit,action comedy mystery thriller,romantic comedy suspense witty whodunit action comedy mystery thriller carl schenkel denzel washington james fox mimi rogers m. emmet walsh sheryl lee ralph
the woman in black,adrian rawlins bernard hepton david daker pauline moran david ryall,herbert wise,based on novel haunted house gothic horror made for television,horror mystery,based on novel haunted house gothic horror made for television horror mystery herbert wise adrian rawlins bernard hepton david daker pauline moran david ryall
gleaming the cube,christian slater tony hawk stacy peralta rodney mullen peter kwong,graeme clifford,skateboarding los angeles skateboard,drama,skateboarding los angeles skateboard drama graeme clifford christian slater tony hawk stacy peralta rodney mullen peter kwong
she's out of control,tony danza ami dolenz catherine hicks wallace shawn dick o'neill,stan dragoti,girlfriend daughter father teenager,comedy romance,girlfriend daughter father teenager comedy romance stan dragoti tony danza ami dolenz catherine hicks wallace shawn dick o'neill
three fugitives,nick nolte martin short sarah rowland doroff james earl jones alan ruck,francis veber,on the run bank robbery comedy of errors,comedy,on the run bank robbery comedy of errors comedy francis veber nick nolte martin short sarah rowland doroff james earl jones alan ruck
sleepaway camp iii: teenage wasteland,pamela springsteen tracy griffith michael j. pollard mark oliver haynes brooke,michael a. simpson,,horror, horror michael a. simpson pamela springsteen tracy griffith michael j. pollard mark oliver haynes brooke
bride of re-animator,jeffrey combs bruce abbott claude earl jones fabiana udenio david gale,brian yuzna,desperation nudity experiment with human beings bat sequel,comedy horror science fiction,desperation nudity experiment with human beings bat sequel comedy horror science fiction brian yuzna jeffrey combs bruce abbott claude earl jones fabiana udenio david gale
valmont,colin firth annette bening meg tilly fairuza balk siã¢n phillips,miloå¡ forman,independent film,drama romance,independent film drama romance miloå¡ forman colin firth annette bening meg tilly fairuza balk siã¢n phillips
drugstore cowboy,matt dillon kelly lynch james le gros heather graham grace zabriskie,gus van sant,individual robbery drug abuse sheriff support group,crime drama,individual robbery drug abuse sheriff support group crime drama gus van sant matt dillon kelly lynch james le gros heather graham grace zabriskie
the wizard,fred savage luke edwards beau bridges christian slater jenny lewis,todd holland,competition video game california brother utah,adventure comedy drama family romance,competition video game california brother utah adventure comedy drama family romance todd holland fred savage luke edwards beau bridges christian slater jenny lewis
depeche mode: 101,david gahan martin gore andrew fletcher alan wilder,d.a. pennebaker david dawkins chris hegedus,woman director,music,woman director music d.a. pennebaker david dawkins chris hegedus david gahan martin gore andrew fletcher alan wilder
going overboard,adam sandler scott larose tom hodges lisa collins adam rifkin,valerie breiman,dictator television rock star bartender friendship,comedy,dictator television rock star bartender friendship comedy valerie breiman adam sandler scott larose tom hodges lisa collins adam rifkin
the tall guy,jeff goldblum emma thompson rowan atkinson geraldine james emil wolk,mel smith,london slapstick actor,comedy romance,london slapstick actor comedy romance mel smith jeff goldblum emma thompson rowan atkinson geraldine james emil wolk
scandal,john hurt joanne whalley bridget fonda ian mckellen jeroen krabbã©,michael caton-jones,london suicide orgy nudity overdose,drama history romance,london suicide orgy nudity overdose drama history romance michael caton-jones john hurt joanne whalley bridget fonda ian mckellen jeroen krabbã©
great balls of fire!,dennis quaid winona ryder john doe stephen tobolowsky alec baldwin,jim mcbride,musical train religious fundamentalism child marriage underage bride,drama,musical train religious fundamentalism child marriage underage bride drama jim mcbride dennis quaid winona ryder john doe stephen tobolowsky alec baldwin
monsieur hire,michel blanc sandrine bonnaire luc thuillier andrã© wilms philippe dormoy,patrice leconte,french suspense murder suspect,crime drama,french suspense murder suspect crime drama patrice leconte michel blanc sandrine bonnaire luc thuillier andrã© wilms philippe dormoy
uhf,"""weird al"" yankovic victoria jackson michael richards david bowe fran drescher",jay levey,loser tv station game show tv star music video,comedy,"loser tv station game show tv star music video comedy jay levey ""weird al"" yankovic victoria jackson michael richards david bowe fran drescher"
lean on me,morgan freeman beverly todd robert guillaume ethan phillips lynne thigpen,john g. avildsen,high school violence in schools gang drug dealing school principal,drama,high school violence in schools gang drug dealing school principal drama john g. avildsen morgan freeman beverly todd robert guillaume ethan phillips lynne thigpen
gross anatomy,matthew modine christine lahti todd field daphne zuniga zakes mokae,thom eberhardt,,comedy drama romance, comedy drama romance thom eberhardt matthew modine christine lahti todd field daphne zuniga zakes mokae
pink cadillac,clint eastwood bernadette peters timothy carhart jim carrey tiffany gail robinson,buddy van horn,billard pool hall motor car wash,action adventure comedy drama romance,billard pool hall motor car wash action adventure comedy drama romance buddy van horn clint eastwood bernadette peters timothy carhart jim carrey tiffany gail robinson
